-69.37	9.03	6.37
-55.14	10.39	5.54
-37.90	11.86	4.87
-17.36	13.03	4.43
5.24	13.33	4.34
27.17	12.57	4.59
46.24	11.19	5.15
62.01	9.74	5.91
75.44	8.44	6.81
110.63	9.03	6.37
124.86	10.39	5.54
142.10	11.86	4.87
162.64	13.03	4.43
-174.76	13.33	4.34
-152.83	12.57	4.59
-133.76	11.19	5.15
-117.99	9.74	5.91
-104.56	8.44	6.81
-69.37	15.04	6.52
-55.14	17.23	5.71
-37.90	19.55	5.05
-17.36	21.38	4.64
5.24	21.84	4.54
27.17	20.66	4.79
46.24	18.50	5.33
62.01	16.19	6.06
75.44	14.09	6.94
110.63	15.04	6.52
124.86	17.23	5.71
142.10	19.55	5.05
162.64	21.38	4.64
-174.76	21.84	4.54
-152.83	20.66	4.79
-133.76	18.50	5.33
-117.99	16.19	6.06
-104.56	14.09	6.94
-63.42	27.39	6.66
-25.23	34.55	5.40
24.77	34.57	5.40
63.62	27.34	6.67
116.58	27.39	6.66
154.77	34.55	5.40
-155.23	34.57	5.40
-116.38	27.34	6.67
0.00	90.00	3.77
		
		
