-5.888	2.217	-0.059
-5.888	2.217	-0.75
-5.286	2.645	1.312
-4.473	3.116	-0.059
-4.473	3.116	-0.75
-2.925	3.757	-0.059
-2.925	3.757	-0.75
-1.896	4.022	1.312
-1.289	4.123	-0.059
-1.289	4.123	-0.75
0.385	4.201	-0.059
0.385	4.201	-0.75
1.861	4.035	1.312
2.048	3.99	-0.059
2.048	3.99	-0.75
3.65	3.495	-0.059
3.65	3.495	-0.75
5.142	2.732	-0.059
5.142	2.732	-0.75
5.306	2.632	1.312
6.518	1.692	-0.059
6.518	1.692	-0.75
5.888	-2.217	-0.059
5.888	-2.217	-0.75
5.286	-2.645	1.312
4.473	-3.116	-0.059
4.473	-3.116	-0.75
2.925	-3.757	-0.059
2.925	-3.757	-0.75
1.896	-4.022	1.312
1.289	-4.123	-0.059
1.289	-4.123	-0.75
-0.385	-4.201	-0.059
-0.385	-4.201	-0.75
-1.861	-4.035	1.312
-2.048	-3.99	-0.059
-2.048	-3.99	-0.75
-3.65	-3.495	-0.059
-3.65	-3.495	-0.75
-5.142	-2.732	-0.059
-5.142	-2.732	-0.75
-5.306	-2.632	1.312
-6.518	-1.692	-0.059
-6.518	-1.692	-0.75
-0.3	0	2.017
