-69.367	-6.800	6.336
-69.367	-0.540	6.292
-63.423	12.515	6.055
-55.141	-7.837	5.503
-55.141	-0.623	5.452
-37.896	-8.955	4.820
-37.896	-0.714	4.762
-25.233	16.440	4.636
-17.360	-9.854	4.384
-17.360	-0.787	4.320
5.242	-10.085	4.285
5.242	-0.805	4.219
24.765	16.451	4.633
27.174	-9.498	4.547
27.174	-0.758	4.485
46.238	-8.445	5.109
46.238	-0.672	5.054
62.014	-7.342	5.871
62.014	-0.583	5.823
63.615	12.489	6.067
75.445	-6.358	6.775
75.445	-0.505	6.734
110.633	-6.800	6.336
110.633	-0.540	6.292
116.577	12.515	6.055
124.859	-7.837	5.503
124.859	-0.623	5.452
142.104	-8.955	4.820
142.104	-0.714	4.762
154.767	16.440	4.636
162.640	-9.854	4.384
162.640	-0.787	4.320
-174.758	-10.085	4.285
-174.758	-0.805	4.219
-155.235	16.451	4.633
-152.826	-9.498	4.547
-152.826	-0.758	4.485
-133.762	-8.445	5.109
-133.762	-0.672	5.054
-117.986	-7.342	5.871
-117.986	-0.583	5.823
-116.385	12.489	6.067
-104.555	-6.358	6.775
-104.555	-0.505	6.734
-90.000	81.539	2.039
