-5.888	2.217	1.000
-4.473	3.116	1.000
-2.925	3.757	1.000
-1.289	4.123	1.000
0.385	4.201	1.000
2.048	3.990	1.000
3.650	3.495	1.000
5.142	2.732	1.000
6.518	1.692	1.000
5.888	-2.217	1.000
4.473	-3.116	1.000
2.925	-3.757	1.000
1.289	-4.123	1.000
-0.385	-4.201	1.000
-2.048	-3.990	1.000
-3.650	-3.495	1.000
-5.142	-2.732	1.000
-6.518	-1.692	1.000
-5.888	2.217	1.691
-4.473	3.116	1.691
-2.925	3.757	1.691
-1.289	4.123	1.691
0.385	4.201	1.691
2.048	3.990	1.691
3.650	3.495	1.691
5.142	2.732	1.691
6.518	1.692	1.691
5.888	-2.217	1.691
4.473	-3.116	1.691
2.925	-3.757	1.691
1.289	-4.123	1.691
-0.385	-4.201	1.691
-2.048	-3.990	1.691
-3.650	-3.495	1.691
-5.142	-2.732	1.691
-6.518	-1.692	1.691
-5.286	2.645	3.062
-1.896	4.022	3.062
1.861	4.035	3.062
5.306	2.632	3.062
5.286	-2.645	3.062
1.896	-4.022	3.062
-1.861	-4.035	3.062
-5.306	-2.632	3.062
0.000	0.000	3.767
		
		
